City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
Mareeba,70,AU,1579838864,62,-17.0,145.43,89.6,8.05
Arraial do Cabo,100,BR,1579838866,84,-22.97,-42.03,71.64,3.38
Kuybyshevo,70,RU,1579838868,81,47.81,38.91,23.77,10.96
Grand Gaube,75,MU,1579838869,100,-20.01,57.66,77.0,10.29
Cherskiy,13,RU,1579838390,94,68.75,161.3,-39.71,1.74
East London,75,ZA,1579838517,93,-33.02,27.91,66.2,6.93
Vila do Maio,0,CV,1579838874,56,15.13,-23.22,71.6,8.05
Bitkine,49,TD,1579838876,17,11.98,18.21,57.88,11.5
Port Elizabeth,17,ZA,1579838877,93,-33.92,25.57,64.4,13.87
'Ewa Beach,1,US,1579838879,61,21.32,-158.01,78.8,4.7
Avarua,100,CK,1579838881,94,-21.21,-159.78,78.8,9.17
San Quintin,0,MX,1579838324,82,30.48,-115.95,58.84,7.34
Gainesville,90,US,1579838802,100,29.65,-82.32,57.99,6.93
Parabel,100,RU,1579838886,88,58.7,81.48,27.05,10.4
Anchorage,1,US,1579838625,84,61.22,-149.9,8.6,1.43
Naifaru,72,MV,1579838889,80,5.44,73.37,83.05,22.32
Shimoda,75,JP,1579838891,77,34.67,138.95,59.0,5.82
Mahebourg,75,MU,1579838830,100,-20.41,57.7,77.0,10.29
Hualmay,100,PE,1579838894,77,-11.1,-77.61,71.06,1.52
Cabo San Lucas,20,MX,1579838877,88,22.89,-109.91,68.0,3.36
Tarakan,0,ID,1579838897,64,3.3,117.63,84.25,4.52
Chumikan,100,RU,1579838899,84,54.72,135.31,-2.79,7.43
Boyle,90,US,1579838900,100,37.63,-84.87,43.0,8.93
Port-Gentil,85,GA,1579838510,78,-0.72,8.78,83.1,8.57
Zlobin,0,HR,1579838904,38,45.29,14.65,43.0,3.36
Vanavara,100,RU,1579838465,99,60.34,102.28,-8.3,4.54
Munai,52,PH,1579838907,76,7.98,124.06,79.43,4.76
Marawi,36,PH,1579838426,85,8.0,124.29,82.0,5.99
Shyroke,69,UA,1579838890,86,47.69,33.26,26.6,2.24
Yumen,55,CN,1579838912,61,40.28,97.2,18.91,4.29
Albany,1,US,1579838702,63,42.6,-73.97,30.0,2.1
Alofi,75,NU,1579838915,78,-19.06,-169.92,82.4,19.46
Sinnamary,24,GF,1579838331,77,5.38,-52.95,78.66,13.42
Nanortalik,100,GL,1579838468,96,60.14,-45.24,29.43,16.64
Raja,54,SS,1579838920,26,8.46,25.68,51.46,5.84
Jumla,0,NP,1579838922,45,29.27,82.18,26.44,5.41
Cayenne,21,GF,1579838923,100,4.93,-52.33,69.8,3.53
Cartagena,20,CO,1579838925,83,10.4,-75.51,80.6,8.05
Mezen,89,RU,1579838926,97,65.85,44.24,9.25,4.29
Grahamstown,0,ZA,1579838928,96,-33.3,26.53,63.0,4.0
Leningradskiy,0,RU,1579838449,93,69.38,178.42,-27.22,1.45
Rio Tercero,7,AR,1579838931,47,-32.17,-64.11,72.28,10.83
Nalut,0,LY,1579838933,33,30.33,10.85,50.36,11.01
Constitucion,63,CL,1579838935,91,-35.33,-72.42,55.49,2.46
Pecos,1,US,1579838936,56,31.42,-103.49,48.2,4.7
Qaqortoq,100,GL,1579838938,85,60.72,-46.03,24.8,9.17
Clyde River,75,CA,1579838940,75,70.47,-68.59,-16.6,19.46
Carnarvon,0,AU,1579838790,39,-24.87,113.63,95.0,10.29
Gigmoto,53,PH,1579838943,81,13.78,124.39,81.09,21.21
Tera,41,NE,1579838945,13,14.01,0.75,68.09,11.95
Chui,0,UY,1579838946,84,-33.7,-53.46,67.77,8.57
Baykit,100,RU,1579838948,98,61.67,96.37,-5.28,1.59
Auki,12,SB,1579838950,70,-8.77,160.7,84.54,9.1
Vaini,20,TO,1579838802,70,-21.2,-175.2,84.2,12.75
Hasaki,75,JP,1579838953,71,35.73,140.83,57.0,3.36
Sembakung,0,ID,1579838954,56,3.82,117.25,87.48,2.35
Onalaska,90,US,1579838751,92,43.88,-91.24,32.0,3.36
Brae,100,GB,1579838818,75,60.4,-1.35,44.6,26.4
Chokurdakh,6,RU,1579838829,92,70.63,147.92,-32.91,7.65
Patos,100,BR,1579838978,84,-7.02,-37.28,76.95,2.06
Kruisfontein,0,ZA,1579838914,90,-34.0,24.73,60.96,7.4
Belaya Gora,68,RU,1579838981,80,68.53,146.42,-34.4,2.17
Ketchikan,90,US,1579838983,93,55.34,-131.65,46.4,20.8
Buenaventura,67,CO,1579838985,92,3.88,-77.03,74.21,1.1
Mayo,1,US,1579838986,80,38.89,-76.51,37.0,2.8
Tabuk,0,PH,1579838988,69,17.42,121.44,78.06,2.26
Airai,16,TL,1579838907,56,-8.93,125.41,82.6,4.52
Obidos,85,BR,1579838991,63,-1.92,-55.52,81.39,1.74
Tagusao,53,PH,1579838507,68,9.19,117.81,82.22,8.08
Kavieng,0,PG,1579838941,67,-2.57,150.8,84.0,9.22
Iqaluit,20,CA,1579838474,67,63.75,-68.51,-27.4,19.46
Rundu,100,NA,1579838988,40,-17.93,19.77,69.8,3.36
Cockburn Town,0,TC,1579838999,59,21.46,-71.14,74.59,8.52
Lavrentiya,0,RU,1579838839,84,65.58,-171.0,-16.31,1.92
Illela,0,NG,1579839003,14,13.73,5.3,64.04,12.44
Port Macquarie,88,AU,1579839004,66,-31.43,152.92,91.0,14.38
Tuatapere,83,NZ,1579838987,40,-46.13,167.68,81.97,9.08
Ahipara,0,NZ,1579839008,83,-35.17,173.17,69.73,11.1
Dikson,100,RU,1579838820,96,73.51,80.55,-9.11,12.46
Telimele,87,GN,1579839011,25,10.92,-13.33,77.02,5.17
Priverno,0,IT,1579839012,81,41.47,13.19,48.0,5.82
Kawhia,0,NZ,1579839014,47,-38.07,174.82,84.99,5.01
Pullman,90,US,1579839016,86,46.73,-117.18,46.4,8.05
Paracatu,100,BR,1579839017,91,-17.22,-46.87,68.52,8.61
Ust-Kuyga,43,RU,1579839019,99,70.02,135.6,-38.49,5.53
Springbok,90,ZA,1579839021,93,-29.66,17.89,55.4,8.05
Lata,20,PT,1579839022,93,40.16,-8.33,50.0,6.93
Inhambane,100,MZ,1579838459,65,-23.86,35.38,78.21,11.5
Assiut,0,EG,1579839026,78,27.18,31.18,42.62,7.9
Panjakent,75,TJ,1579839027,93,39.5,67.61,39.2,9.17
Atbasar,100,KZ,1579839029,92,51.8,68.33,29.95,19.62
Castro,98,BR,1579838821,99,-24.79,-50.01,58.87,4.72
Front Royal,1,US,1579839032,73,38.92,-78.19,35.01,3.36
Northam,100,GB,1579839034,93,51.03,-4.22,43.0,1.99
Machinga,57,MW,1579839035,97,-15.17,35.3,64.65,2.44
Butte,75,US,1579839037,93,39.65,-121.57,51.8,2.24
Yeppoon,75,AU,1579839039,88,-23.13,150.73,78.8,8.05
Saurimo,97,AO,1579839040,97,-9.66,20.39,65.14,3.2
Ventspils,100,LV,1579839042,100,57.39,21.56,42.8,18.34
Yulara,0,AU,1579839044,22,-25.24,130.99,91.4,11.41
Rakaia,0,NZ,1579839045,64,-43.75,172.02,75.0,19.46
Ribeira Grande,16,PT,1579839047,72,38.52,-28.7,52.56,5.32
Puerto Ayora,12,EC,1579839048,30,-0.74,-90.35,73.99,1.01
Pevek,99,RU,1579838855,99,69.7,170.31,-28.57,6.35
Guadalupe y Calvo,0,MX,1579839052,57,26.1,-106.97,42.75,3.78
Sao Filipe,0,CV,1579838985,79,14.9,-24.5,70.84,6.55
New Norfolk,40,AU,1579839055,32,-42.78,147.06,69.01,14.99
La Encarnacion,4,HN,1579839057,81,14.67,-89.08,58.53,1.1
Rodniki,46,RU,1579839058,82,57.11,41.73,18.34,7.2
Inzer,90,RU,1579839060,97,54.22,57.56,8.11,2.66
Muroto,75,JP,1579839061,51,33.28,134.15,62.6,10.29
Kaitong,0,CN,1579839063,73,44.81,123.15,3.47,6.69
Dunedin,88,NZ,1579838835,71,-45.87,170.5,69.01,20.92
Bambanglipuro,0,ID,1579839066,64,-7.95,110.28,86.43,3.96
Zinder,0,NE,1579839068,17,13.81,8.99,62.6,9.17
Atar,100,MR,1579839070,21,20.52,-13.05,67.59,6.46
Huicungo,100,PE,1579839071,97,-7.28,-76.8,64.33,3.24
Egvekinot,0,RU,1579839073,72,66.32,-179.17,-18.24,2.66
Kifri,0,IQ,1579839075,78,34.7,44.97,45.43,12.62
Hong Gai,75,VN,1579839076,88,20.96,107.09,73.4,9.17
Lumeje,100,AO,1579839078,95,-11.55,20.78,67.51,5.23
Bilma,34,NE,1579839080,19,18.69,12.92,58.14,7.43
Lieksa,100,FI,1579839081,90,63.32,30.02,32.72,14.38
Arteaga,100,MX,1579839083,90,18.47,-102.42,60.96,1.52
Isla Vista,1,US,1579839084,93,34.41,-119.86,59.0,5.08
Listvyanka,59,RU,1579839086,60,51.85,104.87,5.0,11.18
Novyy Urengoy,100,RU,1579838904,95,66.08,76.63,10.53,10.83
Umm Kaddadah,1,SD,1579839090,27,13.6,26.69,47.55,12.95
Dnipryany,94,UA,1579839091,86,46.75,33.27,30.0,6.71
Hong Kong,40,HK,1579838983,69,22.29,114.16,81.0,12.75
Inongo,67,CD,1579839095,49,-1.95,18.27,70.86,1.97
Tilichiki,100,RU,1579839096,97,60.47,166.1,-14.28,12.88
Pendleton,90,US,1579839098,93,45.67,-118.79,53.6,4.7
Sheridan,90,US,1579839076,50,44.83,-106.92,36.0,5.82
Richards Bay,58,ZA,1579839101,74,-28.78,32.04,74.93,2.06
Payo,91,ID,1579839103,90,-3.75,103.64,75.02,2.42
Katsuura,75,JP,1579838944,76,35.13,140.3,55.99,3.36
Boa Vista,100,BR,1579839106,69,2.82,-60.67,78.8,4.7
Huangmei,100,CN,1579839108,89,30.19,116.03,47.32,17.29
Karpathos,0,GR,1579839109,56,35.51,27.21,51.44,28.66
Mitsamiouli,75,KM,1579839111,94,-11.38,43.28,78.8,2.24
Huarmey,100,PE,1579839000,76,-10.07,-78.15,71.62,3.02
Shenjiamen,100,CN,1579839114,85,29.96,122.3,52.3,18.7
Zhigalovo,57,RU,1579839116,94,54.81,105.16,-5.28,2.17
Zhanaozen,100,KZ,1579839117,82,43.3,52.8,33.6,16.87
Cidreira,61,BR,1579839119,75,-30.18,-50.21,73.69,19.84
Port Blair,22,IN,1579839121,83,11.67,92.75,80.6,8.05
Tiznit,70,MA,1579839122,69,29.58,-9.5,48.56,3.36
Saint George,1,US,1579839124,61,37.1,-113.58,48.99,1.99
Nieuw Amsterdam,95,SR,1579839126,88,5.88,-55.08,73.4,2.24
Hofn,8,IS,1579838862,57,64.25,-15.21,35.73,36.33
Klaksvik,82,FO,1579839129,73,62.23,-6.59,37.4,29.97
Rio Grande,0,BR,1579839130,79,-32.03,-52.1,71.56,15.64
Boulder City,1,US,1579839132,50,35.98,-114.83,59.0,6.93
Bongouanou,18,CI,1579839134,94,6.65,-4.2,71.67,1.95
Anito,87,PH,1579839135,82,12.45,125.29,81.27,23.47
Bograd,100,RU,1579839137,73,54.23,90.83,24.8,8.95
Galbshtadt,100,RU,1579839139,90,53.23,78.98,29.48,20.83
Artyom,90,AZ,1579839140,86,40.47,50.33,41.0,13.87
Bismil,90,TR,1579839142,100,37.85,40.67,37.4,4.7
Temyasovo,40,RU,1579839143,78,52.99,58.1,17.6,8.95
Beringovskiy,100,RU,1579839126,95,63.05,179.32,0.73,9.26
Kuala Pilah,20,MY,1579839147,55,2.74,102.25,89.6,4.7
Bengkulu,9,ID,1579839148,58,-3.8,102.27,88.83,1.19
Solnechnyy,99,RU,1579839150,84,50.72,136.63,0.86,1.92
Yangjiang,100,CN,1579839010,64,21.85,111.97,73.0,5.01
Balikpapan,40,ID,1579838609,59,-1.27,116.83,89.6,12.75
Evensk,99,RU,1579839155,76,61.95,159.23,-16.55,8.93
Keskin,0,TR,1579839156,75,39.67,33.61,26.01,5.01
Dhidhdhoo,21,MV,1579839158,76,6.88,73.1,82.6,8.97
Pakxan,51,LA,1579839160,45,18.38,103.66,83.91,3.62
Erdenet,0,MN,1579839161,76,49.03,104.08,1.74,3.98
Heihe,0,CN,1579839163,34,50.24,127.49,5.0,6.71
Flinders,90,AU,1579839119,57,-34.58,150.86,79.0,14.99
Churapcha,100,RU,1579839166,95,62.0,132.43,-28.82,4.88
Te Anau,99,NZ,1579839168,69,-45.42,167.72,67.03,9.53
Oksfjord,75,NO,1579839169,92,70.24,22.35,32.0,26.4
Faanui,28,PF,1579839171,72,-16.48,-151.75,82.99,9.89
Kisangani,100,CD,1579839173,52,0.52,25.2,66.31,1.79
Longyearbyen,20,SJ,1579839174,71,78.22,15.64,5.0,43.62
Meulaboh,78,ID,1579839176,77,4.14,96.13,81.46,6.22
Reading,100,GB,1579839028,93,51.46,-0.97,43.0,3.36
Chapais,90,CA,1579839179,78,49.78,-74.85,12.2,6.93
Port Hardy,90,CA,1579839181,93,50.7,-127.42,48.2,9.17
Portobelo,40,PA,1579839182,78,9.55,-79.65,78.8,2.24
Kolokani,100,ML,1579839184,15,13.57,-8.03,77.13,7.85
Santa Catarina de Tepehuanes,0,MX,1579839186,48,25.35,-105.73,48.72,5.06
Kurilsk,98,RU,1579839187,93,45.23,147.88,26.6,16.71
Hilo,90,US,1579839123,88,19.73,-155.09,73.4,6.93
Santa Luzia,90,BR,1579839191,94,-19.77,-43.85,69.8,5.75
Innisfail,99,AU,1579839192,75,-17.53,146.03,85.46,7.56
Kindersley,75,CA,1579839194,79,51.47,-109.17,24.8,20.8
Pachmarhi,100,IN,1579839196,48,22.47,78.43,58.6,1.48
Joshimath,0,IN,1579839197,34,30.57,79.57,29.7,12.39
Veraval,53,IN,1579839199,45,20.9,70.37,66.02,12.5
Lorengau,7,PG,1579839200,68,-2.02,147.27,83.89,7.07
Parkersburg,90,US,1579839202,38,39.27,-81.56,42.8,3.36
Khandyga,12,RU,1579839204,96,62.67,135.6,-32.48,0.31
Buinsk,75,RU,1579839205,78,54.95,48.28,17.6,8.95
Kazachinskoye,100,RU,1579839125,90,57.7,93.28,25.09,10.67
Vieques,40,PR,1579839209,94,18.43,-65.83,75.2,7.18
Taylorville,90,US,1579839210,100,39.55,-89.29,34.0,5.82
Raudeberg,100,NO,1579839212,80,61.99,5.14,41.0,13.87
Villanueva de Cordoba,90,ES,1579839214,93,38.32,-4.63,48.2,3.36
Tirodi,67,IN,1579839215,40,21.68,79.7,63.18,6.58
Shitanjing,60,CN,1579839217,43,39.23,106.34,29.61,1.57
Coquimbo,100,CL,1579839218,64,-29.95,-71.34,68.0,3.36
Porto-Novo,19,BJ,1579838647,88,6.5,2.6,75.58,4.36
Aripuana,85,BR,1579839222,96,-9.17,-60.63,72.12,0.87
Quatre Cocos,75,MU,1579839202,88,-20.21,57.76,78.8,4.7
Poum,60,NC,1579839225,75,-20.23,164.02,79.38,16.44
Campo Grande,90,BR,1579839227,100,-20.44,-54.65,71.6,9.17
Mount Pleasant,90,US,1579839228,93,32.79,-79.86,55.99,6.29
Hithadhoo,18,MV,1579839230,78,-0.6,73.08,84.47,11.63
Karaton,90,ID,1579839232,94,-6.34,106.1,82.99,4.7
Tessalit,75,ML,1579839012,18,20.2,1.01,65.88,4.34
Saint-Pierre,96,RE,1579838947,94,-21.34,55.48,78.8,6.93
Half Moon Bay,20,US,1579839237,87,37.46,-122.43,55.4,4.0
Bud,90,US,1579839238,93,39.45,-86.18,39.99,10.29
Sungaipenuh,94,ID,1579839240,79,-2.08,101.38,72.57,3.36
Bathsheba,40,BB,1579839242,83,13.22,-59.52,77.0,17.22
Ponta Delgada,20,PT,1579839243,81,37.73,-25.67,53.6,9.17
Seoul,1,KR,1579839234,45,37.57,126.98,46.4,3.36
Preobrazheniye,0,RU,1579839125,32,42.9,133.91,15.84,4.94
Avera,90,US,1579839187,76,33.19,-82.53,50.0,5.82
Jiuquan,0,CN,1579839250,32,39.74,98.52,19.81,3.09
Skibbereen,90,IE,1579839252,93,51.55,-9.27,41.0,2.24
Ambulu,0,ID,1579839253,74,-8.35,113.61,81.81,3.58
Necochea,39,AR,1579839255,74,-38.55,-58.74,75.0,11.01
Kiryat Gat,75,IL,1579838462,76,31.61,34.76,57.99,16.11
Departamento de Maldonado,0,UY,1579838966,68,-34.67,-54.92,71.6,5.82
Iskateley,73,RU,1579839260,97,67.68,53.15,0.88,6.85
Abha,40,SA,1579839261,93,18.22,42.51,50.0,11.41
Shelburne,75,CA,1579839263,82,44.08,-80.2,32.0,13.87
Torbay,90,CA,1579839265,86,47.67,-52.73,30.99,13.87
Bollnaes,18,SE,1579839267,84,61.35,16.39,33.08,4.83
Mount Isa,75,AU,1579839268,78,-20.73,139.5,80.6,12.75
Farah,99,AF,1579839271,90,32.5,62.5,43.61,2.71
Amapa,30,BR,1579839184,92,1.0,-52.0,71.82,3.51
Mazagao,72,BR,1579839274,100,-0.12,-51.29,78.8,4.7
Port Hawkesbury,1,CA,1579839277,91,45.62,-61.35,34.0,11.41
Andenes,95,NO,1579839278,74,69.31,16.12,33.8,19.46
Borogontsy,100,RU,1579839125,96,62.67,131.17,-30.96,4.21
Forsytheganj,100,BY,1579839282,92,52.63,29.73,30.18,16.87
Winona,90,US,1579839283,92,43.97,-91.77,32.0,4.7
Narsaq,100,GL,1579839185,85,60.92,-46.05,24.8,10.29
Labuhan,0,ID,1579839287,67,-6.88,112.21,86.32,3.85
Cabo Rojo,0,PR,1579839288,77,18.09,-67.15,75.0,4.09
Shahr-e Kord,6,IR,1579839290,78,32.33,50.86,8.6,2.24
Ayan,100,RU,1579839292,71,56.45,138.17,-5.24,2.51
Winchester,100,GB,1579839293,93,51.07,-1.32,43.0,3.36
Sirte,15,LY,1579839295,84,31.21,16.59,50.38,9.71
Coxim,48,BR,1579839297,95,-18.51,-54.76,74.25,4.14
Nantucket,1,US,1579839299,93,41.28,-70.1,39.0,8.95
Balkanabat,82,TM,1579839301,90,39.51,54.37,38.84,13.89
Kodiak,40,US,1579839303,57,57.79,-152.41,17.6,12.75
Port Hedland,0,AU,1579839304,53,-20.32,118.57,96.8,9.17
Kholmskaya,66,RU,1579839306,80,44.85,38.39,30.2,8.95
Guaraniacu,62,BR,1579839308,94,-25.1,-52.88,62.49,3.96
Brigantine,1,US,1579839238,87,39.41,-74.36,36.0,1.59
Cap Malheureux,75,MU,1579839311,88,-19.98,57.61,78.8,4.7
Brandon,90,US,1579839313,93,27.94,-82.29,64.99,4.7
Agirish,64,RU,1579839124,94,61.92,63.02,1.78,5.75
Esperance,90,AU,1579839316,64,-33.87,121.9,73.4,11.41
Eureka,90,US,1579839318,71,40.8,-124.16,57.2,8.05
Odesskoye,100,RU,1579839319,97,54.21,72.97,31.86,20.51
Charters Towers,59,AU,1579839321,51,-20.1,146.27,90.81,4.47
Parsabad,90,IR,1579839323,52,39.65,47.92,42.8,4.7
Khatanga,100,RU,1579839324,88,71.97,102.5,-25.06,8.72
Kaseda,75,JP,1579839326,93,31.42,130.32,60.01,2.24
Langsa,95,ID,1579839328,62,4.47,97.97,86.99,2.57
Kayseri,75,TR,1579839329,73,38.74,35.5,23.0,9.84
Paranhos,8,BR,1579839331,97,-23.89,-55.43,65.26,2.44
Rawson,100,AR,1579839333,40,-43.3,-65.1,69.37,26.78
Yei,100,SS,1579839334,34,4.09,30.68,62.71,2.71
Bintulu,75,MY,1579839102,83,3.17,113.03,84.2,3.36
Muzaffarabad,68,PK,1579839338,42,34.37,73.47,30.81,11.16
Srandakan,0,ID,1579839339,64,-7.94,110.25,86.43,3.96
Gorin,100,RU,1579839341,87,51.2,136.67,1.65,4.56
Moree,100,AU,1579839343,62,-29.47,149.85,84.2,11.41
Florence,1,IT,1579839344,100,43.77,11.25,42.01,1.12
Wum,0,CM,1579839346,25,6.38,10.07,62.13,2.55
Balkhash,0,KZ,1579839347,92,46.84,74.98,12.2,6.71
College,90,US,1579839140,83,64.86,-147.8,-6.0,2.84
Peniche,75,PT,1579839351,100,39.36,-9.38,48.99,5.82
Ochakiv,76,UA,1579839352,74,46.61,31.55,28.4,6.71
El Alto,93,PE,1579839354,73,-4.27,-81.21,72.19,5.12
Road Town,90,VG,1579839089,88,18.42,-64.62,75.2,13.87
Plover,90,US,1579839118,100,44.46,-89.54,32.0,4.7
Port Lincoln,44,AU,1579839359,48,-34.73,135.87,73.53,13.62
Mingguang,99,CN,1579839361,71,32.78,117.96,47.59,15.03
Roald,96,NO,1579839362,85,62.58,6.13,39.99,29.97
Ust'-Omchug,87,RU,1579839364,97,61.15,149.63,-29.65,4.25
Menongue,100,AO,1579839366,95,-14.66,17.69,62.31,0.72
Gazojak,87,TM,1579839367,77,41.19,61.4,35.82,10.36
Aksu,0,CN,1579839369,79,41.12,80.26,21.25,1.63
Cantapoy,5,PH,1579839371,74,9.49,125.44,82.8,3.33
Sao Sebastiao,100,BR,1579839373,82,-23.76,-45.41,71.67,5.68
Flagstaff,1,US,1579839374,59,35.2,-111.65,48.99,8.05
Beira,100,MZ,1579839376,72,-19.84,34.84,80.74,11.48
